zip5,lat,lon,state
28080,35.456746,-81.105685,NC
28081,35.502816,-80.670173,NC
28083,35.491833,-80.582207,NC
28086,35.244164,-81.377912,NC
28088,35.54438,-80.61463,NC
28089,35.320272,-81.66069,NC
28090,35.454659,-81.559555,NC
28091,34.987392,-79.933002,NC
28092,35.483239,-81.253054,NC
28097,35.296733,-80.39332,NC
28098,35.271135,-81.100787,NC
28101,35.255802,-81.075416,NC
28102,34.814818,-79.976632,NC
28103,34.998974,-80.351455,NC
28104,35.057978,-80.697771,NC
28105,35.119788,-80.709693,NC
28107,35.252973,-80.51803,NC
28108,34.933185,-80.679471,NC
28109,35.48289,-80.279892,NC
28110,35.066044,-80.509089,NC
28112,34.889925,-80.549548,NC
28114,35.230441,-81.747702,NC
28115,35.575398,-80.774914,NC
28117,35.574965,-80.894155,NC
28119,34.847539,-80.013943,NC
28120,35.328586,-81.026424,NC
28124,35.400074,-80.408289,NC
28125,35.659025,-80.698613,NC
28127,35.450168,-80.167234,NC
28128,35.210699,-80.154524,NC
28129,35.232252,-80.327397,NC
28133,34.844926,-80.265681,NC
28134,35.084481,-80.891536,NC
28135,35.02977,-80.217264,NC
28136,35.420501,-81.642411,NC
28137,35.490898,-80.263638,NC
28138,35.514441,-80.437354,NC
28139,35.348363,-81.994737,NC
28144,35.715746,-80.458946,NC
28146,35.621144,-80.395596,NC
28147,35.681053,-80.562965,NC
28150,35.342703,-81.576248,NC
28152,35.240769,-81.591391,NC
28159,35.694166,-80.435209,NC
28160,35.360671,-81.922286,NC
28163,35.20702,-80.428498,NC
28164,35.389444,-81.037135,NC
28166,35.677222,-80.867951,NC
28167,35.506425,-81.959442,NC
28168,35.552363,-81.425084,NC
28169,35.358117,-81.430602,NC
28170,34.998714,-80.098784,NC
28173,34.919177,-80.730565,NC
28174,34.969035,-80.43958,NC
28202,35.227271,-80.844194,NC
28203,35.209006,-80.857571,NC
28204,35.2146,-80.826754,NC
28205,35.218774,-80.789616,NC
28206,35.255423,-80.821516,NC
28207,35.194148,-80.824585,NC
28208,35.232005,-80.904989,NC
28209,35.178714,-80.853985,NC
28210,35.130509,-80.856685,NC
28211,35.166342,-80.797285,NC
28212,35.187703,-80.744556,NC
28213,35.286229,-80.735231,NC
28214,35.272034,-80.968109,NC
28215,35.24557,-80.69893,NC
28216,35.31019,-80.889636,NC
28217,35.168745,-80.908364,NC
28223,35.308875,-80.732499,NC
28226,35.102697,-80.822129,NC
28227,35.189567,-80.645408,NC
28244,35.224605,-80.843094,NC
28262,35.322061,-80.739972,NC
28269,35.337313,-80.803472,NC
28270,35.112035,-80.764605,NC
28273,35.123659,-80.948455,NC
28274,35.189104,-80.83384,NC
28277,35.049856,-80.818019,NC
28278,35.133373,-81.008837,NC
28280,35.226332,-80.843091,NC
28282,35.224815,-80.845277,NC
28301,35.0748,-78.884257,NC
28303,35.085631,-78.959361,NC
28304,35.025528,-78.989604,NC
28305,35.052609,-78.907244,NC
28306,34.958495,-78.896848,NC
28307,35.139602,-78.993577,NC
28308,35.172036,-79.014963,NC
28310,35.124541,-79.04339,NC
28311,35.167769,-78.888697,NC
28312,34.947752,-78.738133,NC
28314,35.053208,-79.01547,NC
28315,35.115044,-79.448548,NC
28318,35.010768,-78.62373,NC
28320,34.558122,-78.772715,NC
28323,35.314791,-78.834376,NC
28325,35.15337,-78.10422,NC
28326,35.269044,-79.15469,NC
28327,35.358148,-79.422784,NC
28328,35.00513,-78.334419,NC
28330,34.910673,-79.823315,NC
28331,35.196432,-78.648539,NC
28332,34.655389,-78.699284,NC
28333,35.286131,-78.017373,NC
28334,35.272208,-78.568104,NC
28337,34.655856,-78.571951,NC
28338,35.098899,-79.744237,NC
28339,35.31054,-78.732747,NC
28340,34.471354,-79.134422,NC
28341,35.119876,-78.174437,NC
28342,35.18567,-78.651615,NC
28343,34.757362,-79.564875,NC
28344,35.167989,-78.622725,NC
28345,34.870288,-79.66564,NC
28347,35.052588,-79.558842,NC
28348,34.914973,-78.927021,NC
28349,34.981159,-77.927059,NC
28350,35.246712,-79.314996,NC
28351,34.848096,-79.576652,NC
28352,34.768395,-79.453559,NC
28355,35.390535,-79.19515,NC
28356,35.23702,-78.790396,NC
28357,34.902094,-79.083013,NC
28358,34.607857,-78.934772,NC
28359,34.58685,-79.054744,NC
28360,34.670328,-79.07494,NC
28362,34.369609,-79.128839,NC
28363,34.948668,-79.529934,NC
28364,34.707928,-79.322676,NC
28365,35.17233,-78.052287,NC
28366,35.230228,-78.362014,NC
28367,35.169804,-79.723229,NC
28368,35.369444,-79.113313,NC
28369,34.423373,-79.029416,NC
28371,34.91065,-78.978348,NC
28372,34.699915,-79.178622,NC
28373,35.09347,-79.485597,NC
28374,35.18928,-79.459071,NC
28375,34.477245,-79.043363,NC
28376,35.04681,-79.241396,NC
28377,34.836294,-79.210785,NC
28378,34.858772,-79.050603,NC
28379,34.929217,-79.786856,NC
28382,34.926629,-78.560381,NC
28383,34.577871,-79.26909,NC
28384,34.79156,-78.94141,NC
28385,35.048,-78.499648,NC
28386,34.862965,-79.128433,NC
28387,35.180486,-79.375695,NC
28390,35.220889,-78.953309,NC
28391,35.03417,-78.698638,NC
28392,34.734741,-78.795411,NC
28393,34.981087,-78.18948,NC
28394,35.217455,-79.241537,NC
28395,35.130166,-78.727024,NC
28396,34.955073,-79.413862,NC
28398,34.98978,-78.064173,NC
28399,34.769386,-78.719612,NC
28401,34.291985,-77.972365,NC
28403,34.221692,-77.880633,NC
28405,34.264179,-77.868315,NC
28409,34.150625,-77.86031,NC
28411,34.301829,-77.793066,NC
28412,34.136589,-77.920579,NC
28420,34.054572,-78.468698,NC
28421,34.505123,-78.167047,NC
28422,34.049233,-78.211058,NC
28423,34.270145,-78.404519,NC
28424,34.290349,-78.699676,NC
28425,34.560672,-77.900427,NC
28428,34.038615,-77.905263,NC
28429,34.341211,-77.900216,NC
28430,34.284007,-78.932772,NC
28431,34.317376,-78.844536,NC
28432,34.168033,-78.758709,NC
28433,34.488505,-78.616673,NC
28434,34.47245,-78.470809,NC
28435,34.405955,-78.109229,NC
28436,34.246636,-78.283897,NC
28438,34.420395,-78.91372,NC
28439,34.286816,-79.001382,NC
28441,34.811459,-78.427416,NC
28442,34.310175,-78.601091,NC
28443,34.481214,-77.692847,NC
28444,34.688313,-78.319957,NC
28445,34.528849,-77.535773,NC
28447,34.618651,-78.278106,NC
28448,34.518305,-78.359652,NC
28449,33.973269,-77.941888,NC
28450,34.309178,-78.496605,NC
28451,34.236096,-78.119072,NC
28452,34.005054,-78.555914,NC
28453,34.866406,-78.076448,NC
28454,34.670298,-77.653954,NC
28455,34.111657,-78.631796,NC
28456,34.374973,-78.287201,NC
28457,34.456198,-77.871525,NC
28458,34.819856,-78.081105,NC
28460,34.52332,-77.417074,NC
28461,33.966618,-78.057598,NC
28462,33.999721,-78.311045,NC
28463,34.109764,-78.776463,NC
28464,34.782225,-78.02108,NC
28465,33.912502,-78.100479,NC
28466,34.74077,-77.875702,NC
28467,33.917986,-78.592036,NC
28468,33.899652,-78.519214,NC
28469,33.93383,-78.473218,NC
28470,33.96697,-78.395923,NC
28472,34.29902,-78.691198,NC
28478,34.64284,-78.042039,NC
28479,34.100688,-78.016511,NC
28480,34.214753,-77.800506,NC
28501,35.239084,-77.527194,NC
28504,35.227366,-77.635888,NC
28508,35.099668,-77.824788,NC
28509,35.145759,-76.805927,NC
28510,34.987612,-76.804461,NC
28511,34.901116,-76.345763,NC
28512,34.701567,-76.806529,NC
28513,35.442763,-77.389638,NC
